FY,Month Grouping,Month (abbv),Region,Field Office,State,Port of Entry,Mode of Transportation,Measure Name,Category,Count
2022,FYTD,APR,Coastal/Interior,CHICAGO,MN,ROCHESTER MN (3581),Air,Conveyances,Air,14
2022,FYTD,APR,Coastal/Interior,CHICAGO,MN,ROCHESTER MN (3581),Air,Travelers,Air,86
2022,FYTD,APR,Coastal/Interior,CHICAGO,MO,"KANSAS CITY, MO (4501)",Air,Conveyances,Air,39
2022,FYTD,APR,Coastal/Interior,CHICAGO,MO,"KANSAS CITY, MO (4501)",Air,Travelers,Air,2650
2022,FYTD,APR,Coastal/Interior,CHICAGO,MO,SPIRIT OF ST. LOUIS AIRP (4506),Air,Conveyances,Air,16
2022,FYTD,APR,Coastal/Interior,CHICAGO,MO,SPIRIT OF ST. LOUIS AIRP (4506),Air,Travelers,Air,108
2022,FYTD,APR,Coastal/Interior,CHICAGO,MO,"SPRINGFIELD, MO (4505)",Air,Conveyances,Air,5
2022,FYTD,APR,Coastal/Interior,CHICAGO,MO,"SPRINGFIELD, MO (4505)",Air,Travelers,Air,39
2022,FYTD,APR,Coastal/Interior,CHICAGO,MO,"ST LOUIS, MO (4503)",Air,Conveyances,Air,141
2022,FYTD,APR,Coastal/Interior,CHICAGO,MO,"ST LOUIS, MO (4503)",Air,Travelers,Air,15220
2022,FYTD,APR,Coastal/Interior,CHICAGO,NE,"OMAHA, NE (3512)",Air,Conveyances,Air,45
2022,FYTD,APR,Coastal/Interior,CHICAGO,NE,"OMAHA, NE (3512)",Air,Travelers,Air,261
2022,FYTD,APR,Coastal/Interior,CHICAGO,OH,"CINCINNATI, OH (4102)",Air,Conveyances,Air,39
2022,FYTD,APR,Coastal/Interior,CHICAGO,OH,"CINCINNATI, OH (4102)",Air,Travelers,Air,3483
2022,FYTD,APR,Coastal/Interior,CHICAGO,OH,"CLEVELAND, OH (4101)",Air,Conveyances,Air,99
2022,FYTD,APR,Coastal/Interior,CHICAGO,OH,"CLEVELAND, OH (4101)",Air,Travelers,Air,7372
